,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total,load,evict,total,load,evict,total,load,evict,total
570,,,,2.45,350,0.17,392.857142857143,407.89,,,,,,,12,14,10,10,10.8,44.8,43.15,115.12,8.08,32.88,40.96,32.88,7.36,29.92,37.28,29.92,8.08,16.56,24.64
580,,,,2.45,350,0.17,392.857142857143,378.87,,,,,,,12,14,10,10,10.8,44.8,46.45,116.08,8.08,42.16,50.24,42.16,7.12,29.92,37.04,29.92,8.08,16.64,24.72
590,,,,2.45,350,0.17,392.857142857143,398.18,,,,,,,12,14,10,10,10.8,44.8,44.2,114.96,8.08,34.64,42.72,34.64,7.36,30.16,37.52,30.16,8.08,16.88,24.96
600,,,,2.45,350,0.17,392.857142857143,403.36,,,,,,,12,14,10,10,10.8,44.8,43.63,116.96,8.08,35.44,43.52,35.44,7.28,30,37.28,30,8.08,16.64,24.72
610,,,,2.45,350,0.17,392.857142857143,408.1,,,,,,,12,14,10,10,10.8,44.8,43.13,113.84,8,32.8,40.8,32.8,7.2,29.76,36.96,29.76,8.08,16.8,24.88
620,,,,2.45,350,0.17,392.857142857143,399.71,,,,,,,12,14,10,10,10.8,44.8,44.03,116.8,8.16,33.68,41.84,33.68,7.36,29.92,37.28,29.92,8.08,16.88,24.96
630,,,,2.45,350,0.17,392.857142857143,401.23,,,,,,,12,14,10,10,10.8,44.8,43.86,114.8,8.16,34.88,43.04,34.88,7.28,29.84,37.12,29.84,8.08,16.96,25.04
640,,,,2.45,350,0.17,392.857142857143,367.23,,,,,,,12,14,10,10,10.8,44.8,47.93,116.64,8.08,40.88,48.96,40.88,7.28,30.24,37.52,30.24,8.08,17.28,25.36
650,,,,2.45,350,0.17,392.857142857143,394.29,,,,,,,12,14,10,10,10.8,44.8,44.64,114.72,8.16,38.48,46.64,38.48,7.2,29.92,37.12,29.92,8.08,17.2,25.28
660,,,,2.45,350,0.17,392.857142857143,385.69,,,,,,,12,14,10,10,10.8,44.8,45.63,115.6,8.08,36,44.08,36,7.28,30,37.28,30,8.08,17.44,25.52
