N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
L3 730 730 730 16 444 730,33396301312,1518013696,9.52,433.05,42.72,0,0,0,0,0,0,0,0,0
740,4,3.640594,L2 740 740 740 16 12 250
L3 740 740 740 16 438 740,34799327552,1581787616,9.55,434.48,42.72,0,0,0,0,0,0,0,0,0
750,4,3.812117,L2 750 750 750 16 12 250
L3 750 750 750 16 432 750,36241108992,1647323136,9.50,432.12,42.72,0,0,0,0,0,0,0,0,0
760,2,2.005244,L2 760 760 760 16 12 250
L3 760 760 760 16 426 760,18861086816,857322128,9.40,427.53,43.76,0,0,0,0,0,0,0,0,0
770,2,2.110593,L2 770 770 770 16 12 250
L3 770 770 770 16 421 770,19621524736,891887488,9.29,422.57,43.76,0,0,0,0,0,0,0,0,0
780,2,2.166378,L2 780 780 780 16 12 250
L3 780 780 780 16 415 780,20402132256,927369648,9.41,428.06,43.76,0,0,0,0,0,0,0,0,0
790,2,2.304445,L2 790 790 790 16 12 250
L3 790 790 790 16 410 790,21203173376,963780608,9.19,418.22,44.80,0,0,0,0,0,0,0,0,0
800,2,2.351321,L2 800 800 800 16 12 250
L3 800 800 800 16 405 800,22024912096,1001132368,9.36,425.77,43.76,0,0,0,0,0,0,0,0,0
810,2,2.649736,L2 810 810 810 16 12 250
L3 810 810 810 16 400 810,22867612416,1039436928,8.62,392.27,48.40,0,0,0,0,0,0,0,0,0
820,2,2.579061,L2 820 820 820 16 12 250
L3 820 820 820 16 395 820,23731538336,1078706288,9.20,418.25,44.80,0,0,0,0,0,0,0,0,0
830,2,2.720471,L2 830 830 830 16 12 250
L3 830 830 830 16 390 830,24616953856,1118952448,9.04,411.30,46.00,0,0,0,0,0,0,0,0,0
840,2,2.713909,L2 840 840 840 16 12 250
L3 840 840 840 16 386 840,25524122976,1160187408,9.40,427.49,43.76,0,0,0,0,0,0,0,0,0
850,2,2.856864,L2 850 850 850 16 12 250
L3 850 850 850 16 381 850,26453309696,1202423168,9.25,420.88,43.76,0,0,0,0,0,0,0,0,0
860,2,2.895282,L2 860 860 860 16 12 250
L3 860 860 860 16 377 860,27404778016,1245671728,9.46,430.24,43.76,0,0,0,0,0,0,0,0,0
870,2,3.036386,L2 870 870 870 16 12 250
L3 870 870 870 16 372 870,28378791936,1289945088,9.34,424.82,43.76,0,0,0,0,0,0,0,0,0
880,2,3.082316,L2 880 880 880 16 12 250
L3 880 880 880 16 368 880,29375615456,1335255248,9.52,433.19,42.72,0,0,0,0,0,0,0,0,0
