,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
460,22.11,417.16,CPU bound,22.07,416.41,0.6,203.95,200.67,44.1,44,20.1,10.1,14.3,88.5,44.1,44,22,10,14.1,90.1,91.69,41.4,44,21.2,10.1,14.4,76.32,8.32,84.64,32.24,8,40.24,16.4,8.08,24.48,72.37,8,80.37,32.37,8,40.37,16.12,8.12,24.24,80,8,88,32,8,40,16,8,24
470,22.11,417.16,CPU bound,22.07,416.41,0.6,203.95,203.37,44.1,44,18.1,10.1,14.4,86.6,44.1,44,22,10,14.1,90.1,90.48,40.9,43.3,17.8,10.1,14.4,62.96,8.32,71.28,32.24,8,40.24,16.48,8.08,24.56,64.37,8,72.37,32.37,8,40.37,16.12,8.25,24.37,80,8,88,32,8,40,16,8,24
480,22.11,417.16,CPU bound,22.07,416.41,0.6,203.95,193.7,44.1,44,10,10,14.2,78.3,44.1,44,22,10,14.1,90.1,94.99,40.6,43.9,11.4,10.1,14.5,37.44,8.16,45.6,32.32,8,40.32,16.48,8.08,24.56,32.12,8,40.12,32.12,8,40.12,16.12,8.12,24.24,80,8,88,32,8,40,16,8,24
490,22.11,417.16,CPU bound,22.07,416.41,0.6,203.95,180.47,44.1,44,14.1,10,14.2,82.3,44.1,44,22,10,14.1,90.1,101.96,41.9,43.3,15.8,10.1,14.5,54.8,8.64,63.44,32.4,8,40.4,16.48,8.08,24.56,48.25,8,56.25,32.12,8,40.12,16.12,8,24.12,80,8,88,32,8,40,16,8,24
500,21.98,414.71,0.6,22.07,416.41,0.6,203.95,200.71,44.1,44,22.1,10.1,14.3,90.5,44.1,44,22,10,14.1,90.1,91.68,41.3,43.9,15.6,10.1,14.5,54.24,8.32,62.56,32.24,8,40.24,16.48,8.08,24.56,80.37,8,88.37,32.37,8,40.37,16.12,8.25,24.37,80,8,88,32,8,40,16,8,24
510,22.11,417.16,CPU bound,22.07,416.41,0.6,203.95,141.09,44.1,44,14.1,10.1,14.2,82.4,44.1,44,22,10,14.1,90.1,130.41,39.1,43.3,27,10.1,14.5,98.72,9.36,108.08,32.24,8,40.24,16.48,8.08,24.56,48.37,8,56.37,32.37,8,40.37,16.12,8,24.12,80,8,88,32,8,40,16,8,24
520,21.98,414.71,0.6,22.07,416.41,0.6,203.95,181.04,44.1,44,22.1,10.1,14.2,90.4,44.1,44,22,10,14.1,90.1,101.63,39.8,43.9,22.3,10.1,14.6,80.88,8.32,89.2,32.24,8,40.24,16.64,8.08,24.72,80.25,8,88.25,32.37,8,40.37,16.12,8,24.12,80,8,88,32,8,40,16,8,24
530,21.98,414.71,0.6,22.07,416.41,0.6,203.95,202.72,44.1,44,22.1,10,14.2,90.3,44.1,44,22,10,14.1,90.1,90.76,40.7,43.3,22.4,10.1,14.5,81.2,8.32,89.52,32.24,8,40.24,16.64,8.08,24.72,80.25,8,88.25,32.12,8,40.12,16,8,24,80,8,88,32,8,40,16,8,24
540,21.98,414.71,0.6,22.07,416.41,0.6,203.95,201.61,44.1,44,22.1,10,14.1,90.2,44.1,44,22,10,14.1,90.1,91.27,41.2,43.8,22.4,10.1,14.5,81.36,8.24,89.6,32.24,8,40.24,16.64,8.08,24.72,80.25,8,88.25,32.12,8,40.12,16,7.87,23.87,80,8,88,32,8,40,16,8,24
550,21.98,414.71,0.6,22.07,416.41,0.6,203.95,203,44.1,44,22.1,10.1,14.2,90.4,44.1,44,22,10,14.1,90.1,90.64,40.8,43.3,22.4,10.1,14.6,81.28,8.24,89.52,32.24,8,40.24,16.8,8.08,24.88,80.25,8,88.25,32.37,8,40.37,16.12,8,24.12,80,8,88,32,8,40,16,8,24
